experiment1,3,3
experiment2,9,10
experiment3,8,10
experiment4,14,8
experiment5,10,7
experiment6,1,5
experiment7,2,4
experiment8,11,3
experiment9,14,7
experiment10,14,10
experiment11,12,1
experiment12,3,9
experiment13,10,14
experiment14,6,2
experiment15,9,4
experiment16,3,1
experiment17,15,11
experiment18,2,7
experiment19,2,9
experiment20,3,14
experiment21,5,13
experiment22,13,14
experiment23,3,6
experiment24,11,2
experiment25,13,4
experiment26,9,3
experiment27,9,1
experiment28,13,10
experiment29,3,1
experiment30,13,4
experiment31,10,13
experiment32,6,3
experiment33,6,7
experiment34,11,7
experiment35,5,5
experiment36,14,6
experiment37,4,3
experiment38,1,14
experiment39,12,7
experiment40,15,12
experiment41,2,1
experiment42,2,1
experiment43,4,9
experiment44,12,2
experiment45,10,10
experiment46,8,1
experiment47,12,3
experiment48,9,1
experiment49,15,13
experiment50,5,13
experiment51,8,4
experiment52,11,14
experiment53,11,11
experiment54,1,12
experiment55,14,10
experiment56,1,13
experiment57,2,5
experiment58,5,11
experiment59,13,7
experiment60,3,2
experiment61,7,1
experiment62,1,2
experiment63,9,1
experiment64,2,2
experiment65,8,2
experiment66,10,6
experiment67,1,5
experiment68,7,10
experiment69,7,3
experiment70,8,4
experiment71,9,7
experiment72,3,13
experiment73,3,2
experiment74,7,6
experiment75,10,9
experiment76,15,10
experiment77,5,7
experiment78,3,11
experiment79,15,13
experiment80,15,8
experiment81,4,8
experiment82,4,2
experiment83,4,7
experiment84,6,7
experiment85,6,5
experiment86,10,14
experiment87,10,9
experiment88,6,4
experiment89,1,9
experiment90,5,10
experiment91,11,12
experiment92,6,10
experiment93,15,11
experiment94,7,12
experiment95,13,7
experiment96,9,12
experiment97,7,6
experiment98,7,14
experiment99,7,1
experiment100,7,8
experiment101,14,1
experiment102,9,14
experiment103,13,10
experiment104,15,11
experiment105,8,14
experiment106,1,3
experiment107,1,9
experiment108,3,4
experiment109,9,11
experiment110,2,6
experiment111,15,4
experiment112,11,4
experiment113,15,13
experiment114,1,6
experiment115,5,13
experiment116,4,2
experiment117,8,11
experiment118,1,7
experiment119,13,11
experiment120,8,13
experiment121,15,5
experiment122,9,11
experiment123,15,2
