experiment1,6,7
experiment2,5,6
experiment3,9,8
experiment4,9,9
experiment5,15,4
experiment6,2,8
experiment7,3,14
experiment8,13,15
experiment9,4,12
experiment10,6,9
experiment11,8,2
experiment12,10,8
experiment13,1,13
experiment14,3,4
experiment15,7,2
experiment16,9,8
experiment17,11,6
experiment18,7,8
experiment19,8,3
experiment20,3,1
experiment21,9,7
experiment22,1,8
experiment23,3,5
experiment24,12,4
experiment25,9,5
experiment26,10,11
experiment27,10,13
experiment28,6,13
experiment29,1,3
experiment30,2,4
experiment31,2,7
experiment32,7,15
experiment33,14,6
experiment34,14,15
experiment35,12,12
experiment36,5,15
experiment37,13,9
experiment38,9,1
experiment39,14,13
experiment40,8,1
experiment41,4,4
experiment42,2,2
experiment43,1,15
experiment44,10,1
experiment45,9,11
experiment46,11,13
experiment47,12,10
experiment48,9,2
experiment49,6,1
experiment50,5,15
experiment51,14,11
experiment52,7,2
experiment53,2,13
experiment54,11,12
experiment55,4,2
experiment56,7,7
experiment57,9,7
experiment58,7,10
experiment59,14,1
experiment60,4,11
experiment61,6,5
experiment62,13,1
experiment63,13,13
experiment64,3,8
experiment65,1,14
experiment66,11,5
experiment67,13,9
experiment68,4,4
experiment69,1,9
experiment70,5,1
experiment71,8,7
experiment72,14,2
experiment73,5,3
experiment74,4,2
experiment75,8,10
experiment76,6,13
experiment77,7,14
experiment78,14,3
experiment79,6,14
experiment80,13,11
experiment81,12,6
experiment82,13,12
experiment83,12,9
experiment84,2,15
experiment85,10,6
experiment86,8,8
experiment87,5,15
experiment88,2,10
experiment89,6,10
experiment90,7,5
experiment91,12,8
experiment92,7,5
experiment93,13,15
experiment94,7,7
experiment95,7,1
experiment96,8,3
experiment97,11,7
experiment98,8,9
experiment99,13,2
experiment100,6,5
experiment101,3,10
experiment102,9,1
experiment103,3,7
experiment104,8,14
experiment105,4,7
experiment106,1,12
experiment107,11,15
experiment108,13,13
experiment109,12,5
experiment110,13,7
experiment111,11,1
experiment112,8,9
experiment113,6,5
experiment114,13,2
experiment115,13,3
experiment116,13,2
experiment117,10,14
experiment118,4,9
experiment119,6,8
experiment120,9,13
experiment121,12,14
experiment122,15,10
experiment123,11,4
experiment124,5,2
experiment125,15,11
experiment126,8,9
experiment127,3,13
